titles,year,category
A Real-Time Signal Processing Framework of Musical Expressive Feature Extraction Using Matlab.,2011,Recognition / Analysis /Classification
A Scalable Audio Fingerprint Method with Robustness to Pitch-Shifting.,2011,Other
A Re-ordering Strategy for Accelerating Index-based Audio Fingerprinting.,2011,Other
Fast Hamming Space Search for Audio Fingerprinting Systems.,2011,Query (content-based)
"Segmentation, Clustering, and Display in a Personal Audio Database for Musicians.",2011,Corpora and databases
An Interactive System for Electro-Acoustic Music Analysis.,2011,Other
A Multicultural Approach in Music Information Research.,2011,Other
Assessing the Tuning of Sung Indian Classical Music.,2011,Other
A Computational Investigation of Melodic Contour Stability in Jewish Torah Trope Performance Traditions.,2011,"Transcription and annotations,Systems issues"
Tarsos - a Platform to Explore Pitch Scales in Non-Western and Western Music.,2011,Other
A Classification-Based Polyphonic Piano Transcription Approach Using Learned Feature Representations.,2011,"Knowledge representation,Transcription and annotations,Similarity"
Constrained Spectrum Generation Using A Probabilistic Spectrum Envelope for Mixed Music Analysis.,2011,Other
Pulse Detection in Syncopated Rhythms Using Neural Oscillators.,2011,Transcription and annotations
A Two-Fold Dynamic Programming Approach to Beat Tracking for Audio Music with Time-Varying Tempo.,2011,Transcription and annotations
Tempo Estimation Based on Linear Prediction and Perceptual Modelling.,2011,Transcription and annotations
A Transient Detection Algorithm for Audio Using Iterative Analysis of STFT.,2011,"Transcription and annotations,Recognition / Analysis /Classification"
Modeling Musical Attributes to Characterize Two-Track Recordings with Bass and Drums.,2011,Other
Chroma Toolbox: Matlab Implementations for Extracting Variants of Chroma-Based Audio Features.,2011,Other
A Comparison of Statistical and Rule-Based Models for Style-Specific Harmonization.,2011,Similarity
Melody Extraction based on Harmonic Coded Structure.,2011,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Timbre and Melody Features for the Recognition of Vocal Activity and Instrumental Solos in Polyphonic Music.,2011,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Quantifying the Relevance of Locally Extracted Information for Musical Instrument Recognition from Entire Pieces of Music.,2011,Recognition / Analysis /Classification
Score-Informed Voice Separation For Piano Recordings.,2011,Transcription and annotations
A Postprocessing Technique for Improved Harmonic/Percussion Separation for Polyphonic Music.,2011,"Transcription and annotations,Similarity"
Factorization of Overlapping Harmonic Sounds Using Approximate Matching Pursuit.,2011,Other
Computational Approaches for the Understanding of Melody in Carnatic Music.,2011,"Transcription and annotations,Similarity"
Modeling Melodic Improvisation in Turkish Folk Music Using Variable-Length Markov Models.,2011,Other
Iranian Traditional Music Dastgah Classification.,2011,Other
"The Temperament Police: The Truth, the Ground Truth, and Nothing but the Truth.",2011,Other
Methodology and Resources for The Structural Segmentation of Music Pieces into Autonomous and Comparable Blocks.,2011,Recognition / Analysis /Classification
The Music Encoding Initiative as a Document-Encoding Framework.,2011,Other
Low Dimensional Visualization of Folk Music Systems Using the Self Organizing Cloud.,2011,Other
New Approaches to Optical Music Recognition.,2011,Recognition / Analysis /Classification
Songle: A Web Service for Active Music Listening Improved by User Contributions.,2011,Other
Improving Perceptual Tempo Estimation with Crowd-Sourced Annotations.,2011,Transcription and annotations
Investigating the Similarity Space of Music Artists on the Micro-Blogosphere.,2011,Similarity
Musical Influence Network Analysis and Rank of Sample-Based Music.,2011,Recognition / Analysis /Classification
User studies in the Music Information Retrieval Literature.,2011,"Recognition / Analysis /Classification,Similarity"
Social Capital and Music Discovery: An Examination of the Ties through Which Late Adolescents Discover New Music.,2011,Other
MIR in School? Lessons from Ethnographic Observation of Secondary School Music Classes.,2011,Other
Ethnographic Observations of Musicologists at the British Library: Implications for Music Information Retrieval.,2011,Other
Peachnote: Music Score Search and Analysis Platform.,2011,"Transcription and annotations,Recognition / Analysis /Classification"
The Melodic Signature Index for Fast Content-based Retrieval of Symbolic Scores Camelia Constantin.,2011,"Recognition / Analysis /Classification,Similarity"
Dynamic Programming in Transposition and Time-Warp Invariant Polyphonic Content-Based Music Retrieval.,2011,Similarity
Rhythm Extraction from Polyphony Symbolic Music.,2011,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Complexity Driven Recombination of MIDI Loops.,2011,Other
Feature Extraction and Machine Learning on Symbolic Music using the music21 Toolkit.,2011,Recognition / Analysis /Classification
Probabilistic Modeling of Hierarchical Music Analysis.,2011,Other
Neo-Riemannian Cycle Detection with Weighted Finite-State Transducers.,2011,Transcription and annotations
Using Sequence Alignment and Voting to Improve Optical Music Recognition from Multiple Recognizers.,2011,Recognition / Analysis /Classification
OCR based post processing of OMR for the recovery of transposing instruments in complex orchestral scores.,2011,Recognition / Analysis /Classification
Classifying Bach's Handwritten C-Clefs.,2011,Other
Automatic Pitch Detection in Printed Square Notation.,2011,Transcription and annotations
Associations between Musicology and Music Information Retrieval.,2011,Other
Potential Relationship Discovery in Tag-Aware Music Style Clustering and Artist Social Networks.,2011,Similarity
Using Network Sciences to Rank Musicians and Composers in Brazilian Popular Music.,2011,Other
Finding Community Structure in Music Genres Networks.,2011,Other
"Guitar Tab Mining, Analysis and Ranking.",2011,Recognition / Analysis /Classification
A Musical Web Mining and Audio Feature Extraction Extension to The Greenstone Digital Library Software.,2011,Recognition / Analysis /Classification
Knowledge Representation Issues in Musical Instrument Ontology Design.,2011,Recognition / Analysis /Classification
The Studio Ontology Framework.,2011,Other
Music Structural Segmentation by Combining Harmonic and Timbral Information.,2011,Recognition / Analysis /Classification
A Regularity-Constrained Viterbi Algorithm and Its Application to The Structural Segmentation of Songs.,2011,Recognition / Analysis /Classification
Structural Change on Multiple Time Scales as a Correlate of Musical Complexity.,2011,Other
l1-Graph Based Music Structure Analysis.,2011,Other
Causal Prediction of Continuous-Valued Music Features.,2011,Other
Exemplar-based Assignment of Large Missing Audio Parts using String Matching on Tonal Features.,2011,Other
Aligning Semi-Improvised Music Audio with Its Lead Sheet.,2011,Other
Expressive Timing from Cross-Performance and Audio-based Alignment Patterns: An Extended Case Study.,2011,"Transcription and annotations,Systems issues"
Incremental Bayesian Audio-to-Score Alignment with Flexible Harmonic Structure Models.,2011,Transcription and annotations
Stochastic Modeling of a Musical Performance with Expressive Representations from the Musical Score.,2011,"Transcription and annotations,Systems issues"
The Natural Language of Playlists.,2011,Other
"On the Importance of ""Real"" Audio Data for MIR Algorithm Evaluation at the Note-Level - A Comparative Study.",2011,Recognition / Analysis /Classification
A Comparative Study of Collaborative vs. Traditional Musical Mood Annotation.,2011,Other
Design and creation of a large-scale database of structural annotations.,2011,"Human-computer interaction and interfaces,Corpora and databases"
Music Structure Segmentation Algorithm Evaluation: Expanding on MIREX 2010 Analyses and Datasets.,2011,Recognition / Analysis /Classification
Music Information Robotics: Coping Strategies for Musically Challenged Robots.,2011,Other
The potential for automatic assessment of trumpet tone quality.,2011,Other
Elementary Sources: Latent Component Analysis for Music Composition.,2011,Recognition / Analysis /Classification
Cross-Modal Aesthetics from A Feature Extraction Perspective: A Pilot Study.,2011,Recognition / Analysis /Classification
The Million Song Dataset.,2011,Other
Audio Music Similarity and Retrieval: Evaluation Power and Stability.,2011,"Recognition / Analysis /Classification,Similarity"
MusiCLEF: a Benchmark Activity in Multimodal Music Information Retrieval.,2011,Other
Information Retrieval Meta-Evaluation: Challenges and Opportunities in the Music Domain.,2011,"Recognition / Analysis /Classification,Similarity"
A Segment-Based Fitness Measure for Capturing Repetitive Structures of Music Recordings.,2011,Other
Analysis of Acoustic Features for Automated Multi-Track Mixing.,2011,Recognition / Analysis /Classification
Accelerating The Mixing Phase In Studio Recording Productions By Automatic Audio Alignment.,2011,Other
An Expert Ground Truth Set for Audio Chord Recognition and Music Analysis.,2011,Recognition / Analysis /Classification
Leveraging Noisy Online Databases for Use in Chord Recognition.,2011,Systems issues
A Vocabulary-Free Infinity-Gram Model for Nonparametric Bayesian Chord Progression Analysis.,2011,Other
A Feature Smoothing Method for Chord Recognition Using Recurrence Plots.,2011,Recognition / Analysis /Classification
Multiscale Scattering for Audio Classification.,2011,Other
Multi-scale temporal fusion by boosting for music classification.,2011,Other
Audio-based Music Classification with a Pretrained Convolutional Network.,2011,Knowledge representation
Music Genre Classification by Ensembles of Audio and Lyrics Features.,2011,"Knowledge representation,Transcription and annotations,Similarity"
Unsupervised Learning of Sparse Features for Scalable Audio Classification.,2011,Recognition / Analysis /Classification
Sparse Signal Decomposition on Hybrid Dictionaries Using Musical Priors.,2011,Other
Music Genre Classification using Similarity Functions.,2011,"Knowledge representation,Similarity"
New Trends in Musical Genre Classification Using Optimum-Path Forest.,2011,"Knowledge representation,Similarity"
Combining Content-Based Auto-Taggers with Decision-Fusion.,2011,Other
Music Tagging with Regularized Logistic Regression.,2011,Other
An Empirical Study of Multi-Label Classifiers for Music Tag Annotation.,2011,Other
Semantic Annotation and Retrieval of Music using a Bag of Systems Representation.,2011,"Recognition / Analysis /Classification,Similarity"
Temporal Pooling and Multiscale Learning for Automatic Annotation and Ranking of Music Audio.,2011,Other
Music Mood Classification of Television Theme Tunes.,2011,Knowledge representation
Musical Moods: A Mass Participation Experiment for Affective Classification of Music.,2011,Knowledge representation
Modeling Dynamic Patterns for Emotional Content in Music.,2011,Other
Identifying Emotion Segments in Music by Discovering Motifs in Physiological Data.,2011,Other
Multi-Modal Non-Prototypical Music Mood Analysis in Continuous Space: Reliability and Performances.,2011,Recognition / Analysis /Classification
Music Emotion Classification of Chinese Songs based on Lyrics Using TF*IDF and Rhyme.,2011,"Knowledge representation,Transcription and annotations"
Urgency Analysis of Audible Alarms in The Operating Room.,2011,Recognition / Analysis /Classification
Modeling Musical Emotion Dynamics with Conditional Random Fields.,2011,Other
Mining the Correlation between Lyrical and Audio Features and the Emergence of Mood.,2011,Recognition / Analysis /Classification
Exploring The Relationship Between Mood and Creativity in Rock Lyrics.,2011,Other
Three Current Issues In Music Autotagging.,2011,Other
Survey and Evaluation of Audio Fingerprinting Schemes for Mobile Query-by-Example Applications.,2011,"Query (content-based),Recognition / Analysis /Classification"
An Investigation of Musical Timbre: Uncovering Salient Semantic Descriptors and Perceptual Dimensions.,2011,"Recognition / Analysis /Classification,Similarity"
SiMPle: Assessing Music Similarity Using Subsequences Joins.,2016,Similarity
Score-Informed Identification of Missing and Extra Notes in Piano Recordings.,2016,Transcription and annotations
Feature Learning for Chord Recognition: The Deep Chroma Extractor.,2016,Recognition / Analysis /Classification
Learning to Pinpoint Singing Voice from Weakly Labeled Examples.,2016,Transcription and annotations
A Corpus of Annotated Irish Traditional Dance Music Recordings: Design and Benchmark Evaluations.,2016,Human-computer interaction and interfaces
Adaptive Frequency Neural Networks for Dynamic Pulse and Metre Perception.,2016,Other
An Evaluation Framework and Case Study for Rhythmic Concatenative Synthesis.,2016,Recognition / Analysis /Classification
An Ontology for Audio Features.,2016,Other
Analysis and Classification of Phonation Modes In Singing.,2016,"Knowledge representation,Recognition / Analysis /Classification"
Analysis of Vocal Imitations of Pitch Trajectories.,2016,Recognition / Analysis /Classification
"Automatic Music Recommendation Systems: Do Demographic, Profiling, and Contextual Features Improve Their Performance?.",2016,Recognition / Analysis /Classification
Automatic Outlier Detection in Music Genre Datasets.,2016,"Transcription and annotations,Similarity"
AVA: An Interactive System for Visual and Quantitative Analyses of Vibrato and Portamento Performance Styles.,2016,"Transcription and annotations,Systems issues"
Composer Recognition Based on 2D-Filtered Piano-Rolls.,2016,Recognition / Analysis /Classification
Conversations with Expert Users in Music Retrieval and Research Challenges for Creative MIR.,2016,"Recognition / Analysis /Classification,Similarity"
Downbeat Tracking Using Beat Synchronous Features with Recurrent Neural Networks.,2016,"Transcription and annotations,Recognition / Analysis /Classification"
Enhancing Cover Song Identification with Hierarchical Rank Aggregation.,2016,Other
Ensemble: A Hybrid Human-Machine System for Generating Melody Scores from Audio.,2016,"Transcription and annotations,Similarity"
Exploring Customer Reviews for Music Genre Classification and Evolutionary Studies.,2016,"Knowledge representation,Similarity"
Further Steps Towards a Standard Testbed for Optical Music Recognition.,2016,Recognition / Analysis /Classification
Improving Voice Separation by Better Connecting Contigs.,2016,Transcription and annotations
Integer Programming Formulation of the Problem of Generating Milton Babbitt's All-Partition Arrays.,2016,Other
Integration and Quality Assessment of Heterogeneous Chord Sequences Using Data Fusion.,2016,Other
Landmark-Based Audio Fingerprinting for DJ Mix Monitoring.,2016,Query (content-based)
Learning and Visualizing Music Specifications Using Pattern Graphs.,2016,Recognition / Analysis /Classification
Listen To Me - Don't Listen To Me: What Communities of Critics Tell Us About Music.,2016,Other
Long-Term Reverberation Modeling for Under-Determined Audio Source Separation with Application to Vocal Melody Extraction.,2016,"Transcription and annotations,Similarity"
Nonnegative Tensor Factorization with Frequency Modulation Cues for Blind Audio Source Separation.,2016,Transcription and annotations
On Drum Playing Technique Detection in Polyphonic Mixtures.,2016,"Transcription and annotations,Similarity"
Predicting Missing Music Components with Bidirectional Long Short-Term Memory Neural Networks.,2016,Other
Structural Segmentation and Visualization of Sitar and Sarod Concert Audio.,2016,Recognition / Analysis /Classification
Template-Based Vibrato Analysis in Complex Music Signals.,2016,Recognition / Analysis /Classification
Towards Evaluating Multiple Predominant Melody Annotations in Jazz Recordings.,2016,"Transcription and annotations,Similarity"
Joint Beat and Downbeat Tracking with Recurrent Neural Networks.,2016,Transcription and annotations
Bayesian Meter Tracking on Learned Signal Representations.,2016,Other
Tempo Estimation for Music Loops and a Simple Confidence Measure.,2016,Transcription and annotations
Brain Beats: Tempo Extraction from EEG Data.,2016,"Transcription and annotations,Recognition / Analysis /Classification"
A Plan for Sustainable MIR Evaluation.,2016,Other
Go with the Flow: When Listeners Use Music as Technology.,2016,Other
A Look at the Cloud from Both Sides Now: An Analysis of Cloud Music Service Usage.,2016,Recognition / Analysis /Classification
"A Hierarchical Bayesian Model of Chords, Pitches, and Spectrograms for Multipitch Analysis.",2016,Other
A Higher-Dimensional Expansion of Affective Norms for English Terms for Music Tagging.,2016,Other
"A Latent Representation of Users, Sessions, and Songs for Listening Behavior Analysis.",2016,Other
A Methodology for Quality Assessment in Collaborative Score Libraries.,2016,Transcription and annotations
Aligned Hierarchies: A Multi-Scale Structure-Based Representation for Music-Based Data Streams.,2016,Other
Analysing Scattering-Based Music Content Analysis Systems: Where's the Music?.,2016,Recognition / Analysis /Classification
Beat Tracking with a Cepstroid Invariant Neural Network.,2016,Transcription and annotations
Bootstrapping a System for Phoneme Recognition and Keyword Spotting in Unaccompanied Singing.,2016,Recognition / Analysis /Classification
Can Microblogs Predict Music Charts? An Analysis of the Relationship Between #Nowplaying Tweets and Music Charts.,2016,Recognition / Analysis /Classification
Cross Task Study on MIREX Recent Results: An Index for Evolution Measurement and Some Stagnation Hypotheses.,2016,Other
Cross-Collection Evaluation for Music Classification Tasks.,2016,"Knowledge representation,Recognition / Analysis /Classification"
Downbeat Detection with Conditional Random Fields and Deep Learned Features.,2016,Transcription and annotations
"Exploiting Frequency, Periodicity and Harmonicity Using Advanced Time-Frequency Concentration Techniques for Multipitch Estimation of Choir and Symphony.",2016,Other
Genre Ontology Learning: Comparing Curated with Crowd-Sourced Ontologies.,2016,Similarity
Genre Specific Dictionaries for Harmonic/Percussive Source Separation.,2016,"Transcription and annotations,Similarity"
Good-sounds.org: A Framework to Explore Goodness in Instrumental Sounds.,2016,Other
Improving Predictions of Derived Viewpoints in Multiple Viewpoints Systems.,2016,Other
Known Artist Live Song ID: A Hashprint Approach.,2016,Other
Learning Temporal Features Using a Deep Neural Network and its Application to Music Genre Classification.,2016,"Recognition / Analysis /Classification,Similarity"
Meter Detection in Symbolic Music Using Inner Metric Analysis.,2016,Transcription and annotations
Minimax Viterbi Algorithm for HMM-Based Guitar Fingering Decision.,2016,Other
Mixtape: Direction-Based Navigation in Large Media Collections.,2016,Other
Musical Note Estimation for F0 Trajectories of Singing Voices Based on a Bayesian Semi-Beat-Synchronous HMM.,2016,Transcription and annotations
On the Evaluation of Rhythmic and Melodic Descriptors for Music Similarity.,2016,Recognition / Analysis /Classification
On the Potential of Simple Framewise Approaches to Piano Transcription.,2016,Other
Phrase-Level Audio Segmentation of Jazz Improvisations Informed by Symbolic Data.,2016,Recognition / Analysis /Classification
Revisiting Priorities: Improving MIR Evaluation Practices.,2016,Recognition / Analysis /Classification
Simultaneous Separation and Segmentation in Layered Music.,2016,"Transcription and annotations,Recognition / Analysis /Classification"
Towards Modeling and Decomposing Loop-Based Electronic Music.,2016,Other
Two (Note) Heads Are Better Than One: Pen-Based Multimodal Interaction with Music Scores.,2016,Other
Analyzing Measure Annotations for Western Classical Music Recordings.,2016,Other
Instrumental Idiom in the 16th Century: Embellishment Patterns in Arrangements of Vocal Music.,2016,Other
The Sousta Corpus: Beat-Informed Automatic Transcription of Traditional Dance Tunes.,2016,Transcription and annotations
Learning a Feature Space for Similarity in World Music.,2016,Similarity
Systematic Exploration of Computational Music Structure Research.,2016,Other
Using Priors to Improve Estimates of Music Structure.,2016,Other
Music Structural Segmentation Across Genres with Gammatone Features.,2016,Recognition / Analysis /Classification
A Comparison of Melody Extraction Methods Based on Source-Filter Modelling.,2016,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
An Analysis of Agreement in Classical Music Perception and its Relationship to Listener Characteristics.,2016,Recognition / Analysis /Classification
An Attack/Decay Model for Piano Transcription.,2016,Other
Automatic Drum Transcription Using Bi-Directional Recurrent Neural Networks.,2016,Transcription and annotations
"Automatic Practice Logging: Introduction, Dataset & Preliminary Study.",2016,Corpora and databases
Data-Driven Exploration of Melodic Structure in Hindustani Music.,2016,Other
Deep Convolutional Networks on the Pitch Spiral For Music Instrument Recognition.,2016,Recognition / Analysis /Classification
DTV-Based Melody Cutting for DTW-Based Melody Search and Indexing in QbH Systems.,2016,"Transcription and annotations,Similarity"
Elucidating User Behavior in Music Services Through Persona and Gender.,2016,Other
Exploring the Latent Structure of Collaborations in Music Recordings: A Case Study in Jazz.,2016,Other
Global Properties of Expert and Algorithmic Hierarchical Music Analyses.,2016,Other
Human-Interactive Optical Music Recognition.,2016,Recognition / Analysis /Classification
I Said it First: Topological Analysis of Lyrical Influence Networks.,2016,Recognition / Analysis /Classification
Impact of Music on Decision Making in Quantitative Tasks.,2016,Other
Interactive Scores in Classical Music Production.,2016,Other
Jazz Ensemble Expressive Performance Modeling.,2016,"Transcription and annotations,Systems issues"
Mining Musical Traits of Social Functions in Native American Music.,2016,Other
Mining Online Music Listening Trajectories.,2016,Other
Musical Typicality: How Many Similar Songs Exist?.,2016,Other
MusicDB: A Platform for Longitudinal Music Analytics.,2016,Other
Noise Robust Music Artist Recognition Using I-Vector Features.,2016,Recognition / Analysis /Classification
On the Use of Note Onsets for Improved Lyrics-To-Audio Alignment in Turkish Makam Music.,2016,Transcription and annotations
Querying XML Score Databases: XQuery is not Enough!.,2016,"Transcription and annotations,Systems issues"
Recurrent Neural Networks for Drum Transcription.,2016,Other
Singing Voice Melody Transcription Using Deep Neural Networks.,2016,"Transcription and annotations,Similarity"
Sparse Coding Based Music Genre Classification Using Spectro-Temporal Modulations.,2016,"Knowledge representation,Similarity"
Time-Delayed Melody Surfaces for Rāga Recognition.,2016,"Transcription and annotations,Similarity"
Transcribing Human Piano Performances into Music Notation.,2016,Other
WiMIR: An Informetric Study On Women Authors In ISMIR.,2016,Other
Automatic Melodic Reduction Using a Supervised Probabilistic Context-Free Grammar.,2016,Other
A Neural Greedy Model for Voice Separation in Symbolic Music.,2016,Transcription and annotations
Towards Score Following In Sheet Music Images.,2016,Transcription and annotations
Extracting Ground-Truth Information from MIDI Files: A MIDIfesto.,2016,Other
Automatic Tagging Using Deep Convolutional Neural Networks.,2016,Other
A Hybrid Gaussian-HMM-Deep Learning Approach for Automatic Chord Estimation with Very Large Vocabulary.,2016,Other
Melody Extraction on Vocal Segments Using Multi-Column Deep Neural Networks.,2016,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
"Multi-Label Music Genre Classification from Audio, Text and Images Using Deep Features.",2017,"Knowledge representation,Similarity"
The Significance of the Low Complexity Dimension in Music Similarity Judgements.,2017,Similarity
Towards Computational Modeling of the Ungrammatical in a Raga Performance.,2017,Other
A Collection of Music Scores for Corpus Based Jingju Singing Research.,2017,Other
Monaural Score-Informed Source Separation for Classical Music Using Convolutional Neural Networks.,2017,Transcription and annotations
Deep Salience Representations for F0 Estimation in Polyphonic Music.,2017,Similarity
An Analysis/Synthesis Framework for Automatic F0 Annotation of Multitrack Datasets.,2017,Other
Make Your Own Accompaniment: Adapting Full-Mix Recordings to Match Solo-Only User Recordings.,2017,Other
Quantifying Music Trends and Facts Using Editorial Metadata from the Discogs Database.,2017,Other
The Music Listening Histories Dataset.,2017,Other
"Artist Preferences and Cultural, Socio-Economic Distances Across Countries: A Big Data Perspective.",2017,Other
Learning Audio-Sheet Music Correspondences for Score Identification and Offline Alignment.,2017,Transcription and annotations
Video-Based Vibrato Detection and Analysis for Polyphonic String Music.,2017,"Transcription and annotations,Recognition / Analysis /Classification,Similarity"
Decoding Neurally Relevant Musical Features Using Canonical Correlation Analysis.,2017,Recognition / Analysis /Classification
Transfer Learning for Music Classification and Regression Tasks.,2017,Knowledge representation
Drum Transcription via Joint Beat and Drum Modeling Using Convolutional Recurrent Neural Networks.,2017,Transcription and annotations
A Formalization of Relative Local Tempo Variations in Collections of Performances.,2017,Transcription and annotations
Sampling Variations of Sequences for Structured Music Generation.,2017,Other
Quantized Melodic Contours in Indian Art Music Perception: Application to Transcription.,2017,Other
Modeling the Multiscale Structure of Chord Sequences Using Polytopic Graphs.,2017,Other
Structured Training for Large-Vocabulary Chord Recognition.,2017,Other
Modeling and Digitizing Reproducing Piano Rolls.,2017,Other
Comparing Offertory Melodies of Five Medieval Christian Chant Traditions.,2017,Other
Counterpoint by Convolution.,2017,Other
"A Framework for Distributed Semantic Annotation of Musical Score: ""Take It to the Bridge!"".",2017,Transcription and annotations
A Music Player with Song Selection Function for a Group of People.,2017,Other
A Post-Processing Procedure for Improving Music Tempo Estimates Using Supervised Learning.,2017,Transcription and annotations
A Statistical Analysis of Gamakas in Carnatic Music.,2017,Recognition / Analysis /Classification
Accurate Audio-to-Score Alignment for Expressive Violin Recordings.,2017,Transcription and annotations
Acoustic Features for Determining Goodness of Tabla Strokes.,2017,Recognition / Analysis /Classification
Automatic Sample Detection in Polyphonic Music.,2017,"Transcription and annotations,Similarity"
Chord Recognition in Symbolic Music Using Semi-Markov Conditional Random Fields.,2017,Recognition / Analysis /Classification
Confidence Measures and Their Applications in Music Labelling Systems Based on Hidden Markov Models.,2017,Other
Convolutional Neural Networks for Real-Time Beat Tracking: A Dancing Robot Application.,2017,Transcription and annotations
Early MFCC and HPCP Fusion for Robust Cover Song Identification.,2017,Other
Exploring the Music Library Association Mailing List: A Text Mining Approach.,2017,Other
Fast and Accurate: Improving a Simple Beat Tracker with a Selectively-Applied Deep Beat Identification.,2017,Transcription and annotations
FMA: A Dataset for Music Analysis.,2017,Corpora and databases
MidiNet: A Convolutional Generative Adversarial Network for Symbolic-Domain Music Generation.,2017,Other
Modeling Harmony with Skip-Grams.,2017,Other
NMED-T: A Tempo-Focused Dataset of Cortical and Behavioral Responses to Naturalistic Music.,2017,"Corpora and databases,Transcription and annotations"
Performance Error Detection and Post-Processing for Fast and Accurate Symbolic Music Alignment.,2017,"Transcription and annotations,Systems issues"
Piece Identification in Classical Piano Music Without Reference Scores.,2017,Other
"PiPo, a Plugin Interface for Afferent Data Stream Processing Operators.",2017,Human-computer interaction and interfaces
Ranking-Based Emotion Recognition for Experimental Music.,2017,Recognition / Analysis /Classification
Scale- and Rhythm-Aware Musical Note Estimation for Vocal F0 Trajectories Based on a Semi-Tatum-Synchronous Hierarchical Hidden Semi-Markov Model.,2017,Similarity
Score-Informed Syllable Segmentation for A Cappella Singing Voice with Convolutional Neural Networks.,2017,"Transcription and annotations,Recognition / Analysis /Classification"
Towards Automatic Mispronunciation Detection in Singing.,2017,Transcription and annotations
Understanding the Expressive Functions of Jingju Metrical Patterns Through Lyrics Text Mining.,2017,Transcription and annotations
A Metric for Music Notation Transcription Accuracy.,2017,Transcription and annotations
A Multiobjective Music Recommendation Approach for Aspect-Based Diversification.,2017,Recognition / Analysis /Classification
A Study on LSTM Networks for Polyphonic Music Sequence Modelling.,2017,Similarity
Audio to Score Matching by Combining Phonetic and Duration Information.,2017,Transcription and annotations
Automatic Interpretation of Music Structure Analyses: A Validated Technique for Post-Hoc Estimation of the Rationale for an Annotation.,2017,Other
Automatic Playlist Sequencing and Transitions.,2017,Other
Automatic Stylistic Composition of Bach Chorales with Deep LSTM.,2017,Other
Clustering Expressive Timing with Regressed Polynomial Coefficients Demonstrated by a Model Selection Test.,2017,Other
Discourse Analysis of Lyric and Lyric-Based Classification of Music.,2017,"Knowledge representation,Recognition / Analysis /Classification"
End-to-End Optical Music Recognition Using Neural Networks.,2017,Recognition / Analysis /Classification
Exploiting Playlists for Representation of Songs and Words for Text-Based Music Retrieval.,2017,Other
Freesound Datasets: A Platform for the Creation of Open Audio Datasets.,2017,Other
From Bach to the Beatles: The Simulation of Human Tonal Expectation Using Ecologically-Trained Predictive Models.,2017,Other
Function- and Rhythm-Aware Melody Harmonization Based on Tree-Structured Parsing and Split-Merge Sampling of Chord Sequences.,2017,"Transcription and annotations,Similarity"
High-Level Music Descriptor Extraction Algorithm Based on Combination of Multi-Channel CNNs and LSTM.,2017,Recognition / Analysis /Classification
Identifying Raga Similarity Through Embeddings Learned from Compositions' Notation.,2017,Similarity
Improving Note Segmentation in Automatic Piano Music Transcription Systems with a Two-State Pitch-Wise HMM Method.,2017,"Transcription and annotations,Recognition / Analysis /Classification"
Large Vocabulary Automatic Chord Estimation with an Even Chance Training Scheme.,2017,Other
Local Interpretable Model-Agnostic Explanations for Music Content Analysis.,2017,Other
Lyric Jumper: A Lyrics-Based Music Exploratory Web Service by Modeling Lyrics Generative Process.,2017,Transcription and annotations
Multi-Pitch Detection and Voice Assignment for A Cappella Recordings of Multiple Singers.,2017,Transcription and annotations
Onset Detection in Composition Items of Carnatic Music.,2017,Transcription and annotations
Song2Guitar: A Difficulty-Aware Arrangement System for Generating Guitar Solo Covers from Polyphonic Audio of Popular Music.,2017,Similarity
The SEILS Dataset: Symbolically Encoded Scores in Modern-Early Notation for Computational Musicology.,2017,Corpora and databases
"""I'm at #Osheaga!"": Listening to the Backchannel of a Music Festival on Twitter.",2017,Other
A Database Linking Piano and Orchestral MIDI Scores with Application to Automatic Projective Orchestration.,2017,Corpora and databases
Analysis of Interactive Intonation in Unaccompanied SATB Ensembles.,2017,Recognition / Analysis /Classification
Automatic Drum Transcription for Polyphonic Recordings Using Soft Attention Mechanisms and Convolutional Neural Networks.,2017,"Transcription and annotations,Similarity"
Automatic Drum Transcription Using the Student-Teacher Learning Paradigm with Unlabeled Music Data.,2017,Transcription and annotations
Chord Generation from Symbolic Melody Using BLSTM Networks.,2017,"Transcription and annotations,Similarity"
Cover Song Identification with Metric Learning Using Distance as a Feature.,2017,Other
Examining Musical Meaning in Similarity Thresholds.,2017,Similarity
Exploring Tonal-Dramatic Relationships in Richard Wagner's Ring Cycle.,2017,Other
Feature Discovery for Sequential Prediction of Monophonic Music.,2017,Other
Generating Nontrivial Melodies for Music as a Service.,2017,Other
Geographical Origin Prediction of Folk Music Recordings from the United Kingdom.,2017,Other
In Search of the Consensus Among Musical Pattern Discovery Algorithms.,2017,Recognition / Analysis /Classification
Informed Automatic Meter Analysis of Music Recordings.,2017,Recognition / Analysis /Classification
Intelligibility of Sung Lyrics: A Pilot Study.,2017,Transcription and annotations
Lyrics-Based Music Genre Classification Using a Hierarchical Attention Network.,2017,"Knowledge representation,Transcription and annotations,Similarity"
Metrical-Accent Aware Vocal Onset Detection in Polyphonic Audio.,2017,"Transcription and annotations,Similarity"
Mining Labeled Data from Web-Scale Collections for Vocal Activity Detection in Music.,2017,Transcription and annotations
