titles,arxiv_links
Structural Segmentation of Dhrupad Vocal Bandish Audio based on Tempo,http://arxiv.org/abs/2008.00756v1
Moving in Time: Computational Analysis of Microtiming in Maracatu de Baque Solto,http://arxiv.org/abs/0705.0635v2
Multilingual Music Genre Embeddings for Effective Cross-Lingual Music Item Annotation,http://arxiv.org/abs/2009.07755v1
Modelling Hierarchical Key Structure With Pitch Scapes,http://arxiv.org/abs/1906.07145v1
Voice-Leading Schema Recognition Using Rhythm and Pitch Features,http://arxiv.org/abs/1303.1761v1
Semantically Meaningful Attributes from Co-Listen Embeddings for Playlist Exploration and Expansion,http://arxiv.org/abs/1707.07835v1
Downbeat Tracking with Tempo Invariant Convolutional Neural Networks,http://arxiv.org/abs/2102.02282v1
ASAP: a dataset of aligned scores and performances for piano transcription,http://arxiv.org/abs/1803.02657v2
Tag2Risk: Harnessing Social Music Tags for Characterizing Depression Risk,http://arxiv.org/abs/2007.13159v1
Content based singing voice source separation via strong conditioning using aligned phonemes,http://arxiv.org/abs/2008.02070v1
BebopNet: Deep Neural Models for Personalized Jazz Improvisations,http://arxiv.org/abs/1611.06505v1
A Simple Method for User-Driven Music Thumbnailing,http://arxiv.org/abs/2103.05342v2
PROGRAMMING INEQUALITY: GENDER REPRESENTATION ON CANADIAN COUNTRY RADIO (2005-2019),http://arxiv.org/abs/1602.01442v1
Score-Informed Source Separation of Choral Music,http://arxiv.org/abs/2008.07645v1
Can't trust the feeling? How open data reveals unexpected behavior of high-level music descriptors,http://arxiv.org/abs/0808.0336v5
Improved Handling of Repeats and Jumps in Audio--Sheet Image Synchronization,http://arxiv.org/abs/2007.14580v1
Zero-Shot Singing Voice Conversion,http://arxiv.org/abs/2008.03009v1
Dance Beat Tracking from Visual Information Alone,http://arxiv.org/abs/1803.07126v1
Music SketchNet: Controllable Music Generation via Factorized Representations of Pitch and Rhythm,http://arxiv.org/abs/2008.01291v1
How Music Fans Shape Commercial Music Services:  A Case Study of BTS and ARMY,http://arxiv.org/abs/2109.07227v1
Artist gender representation in music streaming,http://arxiv.org/abs/2108.01053v1
Mood Classification Using Listening Data,http://arxiv.org/abs/2010.11512v1
Exploring Aligned Lyrics-informed Singing Voice Separation,http://arxiv.org/abs/2008.04482v1
Sesquialtera in the Colombian bambuco: Perception and estimation of beat and meter,http://arxiv.org/abs/1911.03372v1
Joint analysis of mode and playing technique in Guqin performance with machine learning,http://arxiv.org/abs/1810.03743v2
Score following with hidden tempo using a switching state-space model,http://arxiv.org/abs/1310.4461v2
Semi-supervised learning using teacher-student models for vocal melody extraction,http://arxiv.org/abs/1204.1685v2
Unsupervised Disentanglement of Pitch and Timbre for Isolated Musical Instrument Sounds,http://arxiv.org/abs/1906.08152v2
Automatic Rank-Ordering of Singing Vocals with Twin-Neural Network,http://arxiv.org/abs/1510.04039v1
Human-AI Co-Creation in Songwriting,http://arxiv.org/abs/2111.07592v1
Analysis of Song/Artist Latent Features and Its Application for Song Search,http://arxiv.org/abs/1905.11010v1
The MIDI Degradation Toolkit: Symbolic Music Augmentation and Correction,http://arxiv.org/abs/2010.00059v1
MusPy: A Toolkit for Symbolic Music Generation,http://arxiv.org/abs/2008.01951v1
Ultra-light deep MIR by trimming lottery tickets,http://arxiv.org/abs/2007.16187v1
Data Cleansing with Contrastive Learning for Vocal Note Event Annotations,http://arxiv.org/abs/2008.02069v3
Joyful for you and tender for us: the influence of individual characteristics and language on emotion labeling and classification,http://arxiv.org/abs/1004.3260v1
A Neural Approach for Full-Page Optical Music Recognition of Mensural Documents,http://arxiv.org/abs/2005.02669v1
Multidimensional similarity modelling of complex drum loops using the GrooveToolbox,http://arxiv.org/abs/1902.07958v1
Modeling perception with hierarchical prediction: Auditory segmentation with deep predictive coding locates candidate evoked potentials in EEG,http://arxiv.org/abs/1905.01378v1
Music FaderNets: Controllable Music Generation Based On High-Level Features via Low-Level Feature Modelling,http://arxiv.org/abs/2007.15474v1
"Deconstruct, Analyse, Reconstruct: How to improve Tempo, Beat, and Downbeat Estimation",http://arxiv.org/abs/0705.3049v1
Neural Loop Combiner: Neural Network Models for Assessing the Compatibility of Loops,http://arxiv.org/abs/2008.02011v1
Rule Mining for Local Boundary Detection in Melodies,http://arxiv.org/abs/1912.06432v2
Butter Lyrics Over Hominy Grit: Comparing Audio and Psychology-Based Text Features in MIR Tasks,http://arxiv.org/abs/1808.10351v1
Mode classification and natural units in plainchant,http://arxiv.org/abs/1903.10559v3
Data Quality Matters: Iterative Corrections on a Corpus of Mendelssohn String Quartets and Implications for MIR Analysis,http://arxiv.org/abs/2006.15411v1
"CONLON: A Pseudo-Song Generator Based on a New Pianoroll, Wasserstein Autoencoders, and Optimal Interpolations",http://arxiv.org/abs/1909.03522v1
Combining musical features for cover detection,http://arxiv.org/abs/2008.07527v1
The Freesound Loop Dataset and Annotation Tool,http://arxiv.org/abs/2008.11507v2
Less is more: Faster and better music version identification with embedding distillation,http://arxiv.org/abs/2010.03284v1
Should we consider the users in contextual music auto-tagging models?,http://arxiv.org/abs/1207.1478v2
Exploring Acoustic Similarity for Novel Music Recommendation,http://arxiv.org/abs/1808.10600v2
Generating Music with a Self-Correcting Non-Chronological Autoregressive Model,http://arxiv.org/abs/2002.03761v2
Multiple F0 Estimation in Vocal Ensembles using Convolutional Neural Networks,http://arxiv.org/abs/2009.04172v1
DRUMGAN: SYNTHESIS OF DRUM SOUNDS WITH TIMBRAL FEATURE CONDITIONING USING GENERATIVE ADVERSARIAL NETWORKS,http://arxiv.org/abs/2008.12073v1
Microtask Crowdsourcing for Music Score Transcriptions: An Experiment with Error Detection,http://arxiv.org/abs/1912.05045v2
A Deep Learning Based Analysis-Synthesis Framework For Unison Singing,http://arxiv.org/abs/2009.09875v1
Essentia.js: A JavaScript Library for Music and Audio Analysis on the Web,http://arxiv.org/abs/1705.05476v1
Detecting Collaboration Profiles in Success-based Music Genre Networks,http://arxiv.org/abs/0809.4418v1
Deep Learning Based Source Separation Applied To Choir Ensembles,http://arxiv.org/abs/2008.07645v1
On the Characterization of Expressive Performance in Classical Music: First Results of the Con Espressione Game,http://arxiv.org/abs/2008.02194v1
Few-shot Drum Transcription in Polyphonic Music,http://arxiv.org/abs/2008.02791v1
dMelodies: A Music Dataset for Disentanglement Learning,http://arxiv.org/abs/2007.15067v1
Metric learning vs classification for disentangled music representation learning,http://arxiv.org/abs/2008.03729v2
Score-informed Networks for Music Performance Assessment,http://arxiv.org/abs/2008.00203v1
The multiple voices of musical emotions: source separation for improving music emotion recognition models and their interpretability,http://arxiv.org/abs/2101.02051v1
Hierarchical Timbre-painting and Articulation Generation,http://arxiv.org/abs/2008.13095v2
User Insights on Diversity in Music Recommendation Lists,http://arxiv.org/abs/1703.07534v1
From Music Ontology towards Ethno-Music-Ontology,http://arxiv.org/abs/2101.02051v1
A Combination of Local Approaches for Hierarchical Music Genre Classification,http://arxiv.org/abs/2003.05377v1
Modeling Music and Code Knowledge to Support a Co-creative AI Agent for Education,http://arxiv.org/abs/2108.05809v1
Multitask Learning  for Instrument Activation Aware Music Source Separation,http://arxiv.org/abs/2008.00616v1
The Jazz Transformer on the Front Line: Exploring the Shortcomings of AI-composed Music through Quantitative Measures,http://arxiv.org/abs/2008.01307v1
Polyphonic Piano Transcription Using Autoregressive Multi-State Note Model,http://arxiv.org/abs/2010.01104v1
"Exact, Parallelizable Dynamic Time Warping Alignment with Linear Memory",http://arxiv.org/abs/2008.02734v1
Automatic Composition of Guitar Tabs by Transformers and Groove Modeling,http://arxiv.org/abs/2008.01431v1
A Computational Analysis of Real-World DJ Mixes using Mix-To-Track Subsequence Alignment,http://arxiv.org/abs/2008.10267v1
Explaining Perceived Emotion Predictions in Music: An Attentive Approach,http://arxiv.org/abs/1907.03572v1
Bistate reduction and comparison of drum patterns,http://arxiv.org/abs/1810.08712v1
"Pandemics, music, and collective sentiment: evidence from the outbreak of COVID-19",http://arxiv.org/abs/2007.02304v1
Towards a Formalization of Musical Rhythm,http://arxiv.org/abs/2109.10256v1
An Auditory Streaming Approach for Melody Extraction from Polyphonic Music.,http://arxiv.org/abs/2110.07419v1
An Acoustic-Phonetic Approach to Vocal Melody Extraction.,http://arxiv.org/abs/1804.09202v1
A System for Evaluating Singing Enthusiasm for Karaoke.,http://arxiv.org/abs/1902.00956v1
"Automatic Assessment of Singer Traits in Popular Music: Gender, Age, Height and Race.",http://arxiv.org/abs/2103.15122v2
A Preplexity Based Cover Song Matching System for Short Length Queries.,http://arxiv.org/abs/1709.01058v2
Humming Method for Content-Based Music Information Retrieval.,http://arxiv.org/abs/1401.2516v1
Large-scale music similarity search with spatial trees.,http://arxiv.org/abs/1903.06396v2
A simple-cycles weighted kernel based on harmony structure for similarity retrieval.,http://arxiv.org/abs/2105.05385v1
HarmTrace: Improving Harmonic Similarity Estimation Using Functional Harmony Analysis.,http://arxiv.org/abs/2105.05385v1
Adapting Metrics for Music Similarity Using Comparative Ratings.,http://arxiv.org/abs/1902.09030v1
Using Mutual Proximity to Improve Content-Based Audio Similarity.,http://arxiv.org/abs/2110.04451v1
Learning the Similarity of Audio Music in Bag-of-frames Representation from Tagged Music Data.,http://arxiv.org/abs/1806.08236v2
"Compression-based Similarity Measures in Symbolic, Polyphonic Music.",http://arxiv.org/abs/1206.6392v1
How Much Metadata Do We Need in Music Recommendation? A Subjective Evaluation Using Preference Sets.,http://arxiv.org/abs/2109.07227v1
NextOne Player: A Music Recommendation System Based on User Behavior.,http://arxiv.org/abs/1309.4345v1
How Similar Is Too Similar?: Exploring Users' Perceptions of Similarity in Playlist Evaluation.,http://arxiv.org/abs/1907.01098v1
A Real-Time Signal Processing Framework of Musical Expressive Feature Extraction Using Matlab.,http://arxiv.org/abs/2010.01574v1
A Scalable Audio Fingerprint Method with Robustness to Pitch-Shifting.,http://arxiv.org/abs/2107.14201v1
A Re-ordering Strategy for Accelerating Index-based Audio Fingerprinting.,http://arxiv.org/abs/2107.14201v1
Fast Hamming Space Search for Audio Fingerprinting Systems.,http://arxiv.org/abs/1902.08498v2
"Segmentation, Clustering, and Display in a Personal Audio Database for Musicians.",http://arxiv.org/abs/1906.01174v2
An Interactive System for Electro-Acoustic Music Analysis.,http://arxiv.org/abs/1311.5426v1
A Multicultural Approach in Music Information Research.,http://arxiv.org/abs/1802.04108v1
Assessing the Tuning of Sung Indian Classical Music.,http://arxiv.org/abs/2008.00203v1
A Computational Investigation of Melodic Contour Stability in Jewish Torah Trope Performance Traditions.,http://arxiv.org/abs/1101.5313v1
Tarsos - a Platform to Explore Pitch Scales in Non-Western and Western Music.,http://arxiv.org/abs/1909.06259v1
A Classification-Based Polyphonic Piano Transcription Approach Using Learned Feature Representations.,http://arxiv.org/abs/1902.04390v1
Constrained Spectrum Generation Using A Probabilistic Spectrum Envelope for Mixed Music Analysis.,http://arxiv.org/abs/0710.4922v2
Pulse Detection in Syncopated Rhythms Using Neural Oscillators.,http://arxiv.org/abs/1011.0879v2
A Two-Fold Dynamic Programming Approach to Beat Tracking for Audio Music with Time-Varying Tempo.,http://arxiv.org/abs/1910.12086v1
Tempo Estimation Based on Linear Prediction and Perceptual Modelling.,http://arxiv.org/abs/1804.08167v2
A Transient Detection Algorithm for Audio Using Iterative Analysis of STFT.,http://arxiv.org/abs/1609.00291v1
Modeling Musical Attributes to Characterize Two-Track Recordings with Bass and Drums.,http://arxiv.org/abs/2104.00353v2
Chroma Toolbox: Matlab Implementations for Extracting Variants of Chroma-Based Audio Features.,http://arxiv.org/abs/1612.05065v1
A Comparison of Statistical and Rule-Based Models for Style-Specific Harmonization.,http://arxiv.org/abs/2002.05867v2
Melody Extraction based on Harmonic Coded Structure.,http://arxiv.org/abs/1804.09202v1
Timbre and Melody Features for the Recognition of Vocal Activity and Instrumental Solos in Polyphonic Music.,http://arxiv.org/abs/2007.06349v1
Quantifying the Relevance of Locally Extracted Information for Musical Instrument Recognition from Entire Pieces of Music.,http://arxiv.org/abs/1809.07600v1
Score-Informed Voice Separation For Piano Recordings.,http://arxiv.org/abs/1701.08343v1
A Postprocessing Technique for Improved Harmonic/Percussion Separation for Polyphonic Music.,http://arxiv.org/abs/2101.00701v1
Factorization of Overlapping Harmonic Sounds Using Approximate Matching Pursuit.,http://arxiv.org/abs/1807.03694v1
Computational Approaches for the Understanding of Melody in Carnatic Music.,http://arxiv.org/abs/1711.11357v1
Modeling Melodic Improvisation in Turkish Folk Music Using Variable-Length Markov Models.,http://arxiv.org/abs/1906.08916v1
Iranian Traditional Music Dastgah Classification.,http://arxiv.org/abs/1812.07017v3
"The Temperament Police: The Truth, the Ground Truth, and Nothing but the Truth.",http://arxiv.org/abs/0907.5219v2
Methodology and Resources for The Structural Segmentation of Music Pieces into Autonomous and Comparable Blocks.,http://arxiv.org/abs/1406.3554v1
The Music Encoding Initiative as a Document-Encoding Framework.,http://arxiv.org/abs/2104.13040v1
Low Dimensional Visualization of Folk Music Systems Using the Self Organizing Cloud.,http://arxiv.org/abs/2004.02612v1
New Approaches to Optical Music Recognition.,http://arxiv.org/abs/1905.12629v2
Songle: A Web Service for Active Music Listening Improved by User Contributions.,http://arxiv.org/abs/2102.12188v1
Improving Perceptual Tempo Estimation with Crowd-Sourced Annotations.,http://arxiv.org/abs/2107.10449v1
Investigating the Similarity Space of Music Artists on the Micro-Blogosphere.,http://arxiv.org/abs/2107.14541v1
Musical Influence Network Analysis and Rank of Sample-Based Music.,http://arxiv.org/abs/1708.08041v1
User studies in the Music Information Retrieval Literature.,http://arxiv.org/abs/1904.00648v1
Social Capital and Music Discovery: An Examination of the Ties through Which Late Adolescents Discover New Music.,http://arxiv.org/abs/2012.00927v1
MIR in School? Lessons from Ethnographic Observation of Secondary School Music Classes.,http://arxiv.org/abs/1804.07297v3
Ethnographic Observations of Musicologists at the British Library: Implications for Music Information Retrieval.,http://arxiv.org/abs/1205.2114v2
Peachnote: Music Score Search and Analysis Platform.,http://arxiv.org/abs/1708.08041v1
The Melodic Signature Index for Fast Content-based Retrieval of Symbolic Scores Camelia Constantin.,http://arxiv.org/abs/2107.14009v1
Dynamic Programming in Transposition and Time-Warp Invariant Polyphonic Content-Based Music Retrieval.,http://arxiv.org/abs/1806.08236v2
Rhythm Extraction from Polyphony Symbolic Music.,http://arxiv.org/abs/1901.10163v1
Complexity Driven Recombination of MIDI Loops.,http://arxiv.org/abs/1802.03115v1
Feature Extraction and Machine Learning on Symbolic Music using the music21 Toolkit.,http://arxiv.org/abs/1806.08236v2
Probabilistic Modeling of Hierarchical Music Analysis.,http://arxiv.org/abs/1608.05347v1
Neo-Riemannian Cycle Detection with Weighted Finite-State Transducers.,http://arxiv.org/abs/2010.01491v1
Using Sequence Alignment and Voting to Improve Optical Music Recognition from Multiple Recognizers.,http://arxiv.org/abs/2004.10345v1
OCR based post processing of OMR for the recovery of transposing instruments in complex orchestral scores.,http://arxiv.org/abs/1109.6862v1
Classifying Bach's Handwritten C-Clefs.,http://arxiv.org/abs/1705.05455v1
Automatic Pitch Detection in Printed Square Notation.,http://arxiv.org/abs/2108.10689v1
Associations between Musicology and Music Information Retrieval.,http://arxiv.org/abs/1910.09242v1
Potential Relationship Discovery in Tag-Aware Music Style Clustering and Artist Social Networks.,http://arxiv.org/abs/2009.08151v1
Using Network Sciences to Rank Musicians and Composers in Brazilian Popular Music.,http://arxiv.org/abs/1908.10968v2
Finding Community Structure in Music Genres Networks.,http://arxiv.org/abs/1201.4899v2
"Guitar Tab Mining, Analysis and Ranking.",http://arxiv.org/abs/1603.04979v1
A Musical Web Mining and Audio Feature Extraction Extension to The Greenstone Digital Library Software.,http://arxiv.org/abs/1212.4935v1
Knowledge Representation Issues in Musical Instrument Ontology Design.,http://arxiv.org/abs/1810.05534v1
The Studio Ontology Framework.,http://arxiv.org/abs/1810.04773v1
Music Structural Segmentation by Combining Harmonic and Timbral Information.,http://arxiv.org/abs/1902.01023v1
A Regularity-Constrained Viterbi Algorithm and Its Application to The Structural Segmentation of Songs.,http://arxiv.org/abs/1809.03395v1
Structural Change on Multiple Time Scales as a Correlate of Musical Complexity.,http://arxiv.org/abs/1812.04832v1
l1-Graph Based Music Structure Analysis.,http://arxiv.org/abs/2010.07518v1
Causal Prediction of Continuous-Valued Music Features.,http://arxiv.org/abs/2002.12626v1
Exemplar-based Assignment of Large Missing Audio Parts using String Matching on Tonal Features.,http://arxiv.org/abs/2010.06230v2
Aligning Semi-Improvised Music Audio with Its Lead Sheet.,http://arxiv.org/abs/1707.09887v1
Expressive Timing from Cross-Performance and Audio-based Alignment Patterns: An Extended Case Study.,http://arxiv.org/abs/1611.00918v2
Incremental Bayesian Audio-to-Score Alignment with Flexible Harmonic Structure Models.,http://arxiv.org/abs/2110.06777v1
Stochastic Modeling of a Musical Performance with Expressive Representations from the Musical Score.,http://arxiv.org/abs/1811.04357v1
The Natural Language of Playlists.,http://arxiv.org/abs/1907.01098v1
"On the Importance of ""Real"" Audio Data for MIR Algorithm Evaluation at the Note-Level - A Comparative Study.",http://arxiv.org/abs/2107.14496v1
A Comparative Study of Collaborative vs. Traditional Musical Mood Annotation.,http://arxiv.org/abs/1905.12629v2
Design and creation of a large-scale database of structural annotations.,http://arxiv.org/abs/1503.05656v2
Music Structure Segmentation Algorithm Evaluation: Expanding on MIREX 2010 Analyses and Datasets.,http://arxiv.org/abs/1809.04281v3
Music Information Robotics: Coping Strategies for Musically Challenged Robots.,http://arxiv.org/abs/2001.01720v1
The potential for automatic assessment of trumpet tone quality.,http://arxiv.org/abs/1810.08339v2
Elementary Sources: Latent Component Analysis for Music Composition.,http://arxiv.org/abs/1905.05805v1
Cross-Modal Aesthetics from A Feature Extraction Perspective: A Pilot Study.,http://arxiv.org/abs/1711.10314v3
The Million Song Dataset.,http://arxiv.org/abs/1907.04292v1
Audio Music Similarity and Retrieval: Evaluation Power and Stability.,http://arxiv.org/abs/1312.5457v1
MusiCLEF: a Benchmark Activity in Multimodal Music Information Retrieval.,http://arxiv.org/abs/2010.16030v1
Information Retrieval Meta-Evaluation: Challenges and Opportunities in the Music Domain.,http://arxiv.org/abs/1902.05347v1
A Segment-Based Fitness Measure for Capturing Repetitive Structures of Music Recordings.,http://arxiv.org/abs/1806.08686v1
Analysis of Acoustic Features for Automated Multi-Track Mixing.,http://arxiv.org/abs/2010.10291v1
Accelerating The Mixing Phase In Studio Recording Productions By Automatic Audio Alignment.,http://arxiv.org/abs/2101.10201v1
An Expert Ground Truth Set for Audio Chord Recognition and Music Analysis.,http://arxiv.org/abs/1107.4969v1
Leveraging Noisy Online Databases for Use in Chord Recognition.,http://arxiv.org/abs/1510.02078v1
A Vocabulary-Free Infinity-Gram Model for Nonparametric Bayesian Chord Progression Analysis.,http://arxiv.org/abs/1701.04846v1
A Feature Smoothing Method for Chord Recognition Using Recurrence Plots.,http://arxiv.org/abs/1907.02698v1
Multiscale Scattering for Audio Classification.,http://arxiv.org/abs/1801.02013v3
Multi-scale temporal fusion by boosting for music classification.,http://arxiv.org/abs/2104.11227v1
Audio-based Music Classification with a Pretrained Convolutional Network.,http://arxiv.org/abs/1912.10211v5
Music Genre Classification by Ensembles of Audio and Lyrics Features.,http://arxiv.org/abs/1808.10600v2
Unsupervised Learning of Sparse Features for Scalable Audio Classification.,http://arxiv.org/abs/1908.09157v3
Sparse Signal Decomposition on Hybrid Dictionaries Using Musical Priors.,http://arxiv.org/abs/1801.03815v1
Music Genre Classification using Similarity Functions.,http://arxiv.org/abs/cs/0303025v1
New Trends in Musical Genre Classification Using Optimum-Path Forest.,http://arxiv.org/abs/1902.03283v1
Combining Content-Based Auto-Taggers with Decision-Fusion.,http://arxiv.org/abs/1702.08409v1
Music Tagging with Regularized Logistic Regression.,http://arxiv.org/abs/1103.2832v1
An Empirical Study of Multi-Label Classifiers for Music Tag Annotation.,http://arxiv.org/abs/1912.01241v1
Semantic Annotation and Retrieval of Music using a Bag of Systems Representation.,http://arxiv.org/abs/1909.12526v1
Temporal Pooling and Multiscale Learning for Automatic Annotation and Ranking of Music Audio.,http://arxiv.org/abs/2004.10246v1
Music Mood Classification of Television Theme Tunes.,http://arxiv.org/abs/2002.00251v1
Musical Moods: A Mass Participation Experiment for Affective Classification of Music.,http://arxiv.org/abs/2110.04765v1
Modeling Dynamic Patterns for Emotional Content in Music.,http://arxiv.org/abs/1910.10489v1
Identifying Emotion Segments in Music by Discovering Motifs in Physiological Data.,http://arxiv.org/abs/1508.00413v2
Multi-Modal Non-Prototypical Music Mood Analysis in Continuous Space: Reliability and Performances.,http://arxiv.org/abs/2007.10695v1
Music Emotion Classification of Chinese Songs based on Lyrics Using TF*IDF and Rhyme.,http://arxiv.org/abs/1901.04831v1
Urgency Analysis of Audible Alarms in The Operating Room.,http://arxiv.org/abs/1112.1662v2
Modeling Musical Emotion Dynamics with Conditional Random Fields.,http://arxiv.org/abs/1910.10489v1
Mining the Correlation between Lyrical and Audio Features and the Emergence of Mood.,http://arxiv.org/abs/2007.04590v2
Exploring The Relationship Between Mood and Creativity in Rock Lyrics.,http://arxiv.org/abs/1410.8749v1
Three Current Issues In Music Autotagging.,http://arxiv.org/abs/1706.07613v2
Survey and Evaluation of Audio Fingerprinting Schemes for Mobile Query-by-Example Applications.,http://arxiv.org/abs/2109.11424v1
An Investigation of Musical Timbre: Uncovering Salient Semantic Descriptors and Perceptual Dimensions.,http://arxiv.org/abs/1805.08501v3
SiMPle: Assessing Music Similarity Using Subsequences Joins.,http://arxiv.org/abs/2111.00163v1
Score-Informed Identification of Missing and Extra Notes in Piano Recordings.,http://arxiv.org/abs/2010.07061v1
Feature Learning for Chord Recognition: The Deep Chroma Extractor.,http://arxiv.org/abs/1612.05065v1
Learning to Pinpoint Singing Voice from Weakly Labeled Examples.,http://arxiv.org/abs/1912.10128v1
A Corpus of Annotated Irish Traditional Dance Music Recordings: Design and Benchmark Evaluations.,http://arxiv.org/abs/1510.04029v1
Adaptive Frequency Neural Networks for Dynamic Pulse and Metre Perception.,http://arxiv.org/abs/1612.04028v3
An Evaluation Framework and Case Study for Rhythmic Concatenative Synthesis.,http://arxiv.org/abs/1802.03775v1
An Ontology for Audio Features.,http://arxiv.org/abs/0902.3026v1
Analysis and Classification of Phonation Modes In Singing.,http://arxiv.org/abs/2107.08425v1
Analysis of Vocal Imitations of Pitch Trajectories.,http://arxiv.org/abs/1211.4788v2
"Automatic Music Recommendation Systems: Do Demographic, Profiling, and Contextual Features Improve Their Performance?.",http://arxiv.org/abs/1905.12593v2
Automatic Outlier Detection in Music Genre Datasets.,http://arxiv.org/abs/1905.11959v1
AVA: An Interactive System for Visual and Quantitative Analyses of Vibrato and Portamento Performance Styles.,http://arxiv.org/abs/2105.05558v1
Composer Recognition Based on 2D-Filtered Piano-Rolls.,http://arxiv.org/abs/2110.11405v2
Conversations with Expert Users in Music Retrieval and Research Challenges for Creative MIR.,http://arxiv.org/abs/2109.02311v1
Downbeat Tracking Using Beat Synchronous Features with Recurrent Neural Networks.,http://arxiv.org/abs/1605.08396v1
Enhancing Cover Song Identification with Hierarchical Rank Aggregation.,http://arxiv.org/abs/2008.05640v1
Ensemble: A Hybrid Human-Machine System for Generating Melody Scores from Audio.,http://arxiv.org/abs/math/9804027v1
Exploring Customer Reviews for Music Genre Classification and Evolutionary Studies.,http://arxiv.org/abs/1808.10600v2
Further Steps Towards a Standard Testbed for Optical Music Recognition.,http://arxiv.org/abs/1004.4368v1
Improving Voice Separation by Better Connecting Contigs.,http://arxiv.org/abs/2103.09420v1
Integer Programming Formulation of the Problem of Generating Milton Babbitt's All-Partition Arrays.,http://arxiv.org/abs/math/0106031v1
Integration and Quality Assessment of Heterogeneous Chord Sequences Using Data Fusion.,http://arxiv.org/abs/2002.09748v1
Landmark-Based Audio Fingerprinting for DJ Mix Monitoring.,http://arxiv.org/abs/2101.10201v1
Learning and Visualizing Music Specifications Using Pattern Graphs.,http://arxiv.org/abs/2007.10984v1
Listen To Me - Don't Listen To Me: What Communities of Critics Tell Us About Music.,http://arxiv.org/abs/physics/0508233v3
Long-Term Reverberation Modeling for Under-Determined Audio Source Separation with Application to Vocal Melody Extraction.,http://arxiv.org/abs/2010.01038v1
Nonnegative Tensor Factorization with Frequency Modulation Cues for Blind Audio Source Separation.,http://arxiv.org/abs/1606.00037v1
On Drum Playing Technique Detection in Polyphonic Mixtures.,http://arxiv.org/abs/1611.05182v2
Predicting Missing Music Components with Bidirectional Long Short-Term Memory Neural Networks.,http://arxiv.org/abs/1801.10492v3
Structural Segmentation and Visualization of Sitar and Sarod Concert Audio.,http://arxiv.org/abs/2008.00756v1
Template-Based Vibrato Analysis in Complex Music Signals.,http://arxiv.org/abs/1606.00037v1
Towards Evaluating Multiple Predominant Melody Annotations in Jazz Recordings.,http://arxiv.org/abs/2104.02821v2
Joint Beat and Downbeat Tracking with Recurrent Neural Networks.,http://arxiv.org/abs/2108.03576v1
Bayesian Meter Tracking on Learned Signal Representations.,http://arxiv.org/abs/1512.06086v1
Tempo Estimation for Music Loops and a Simple Confidence Measure.,http://arxiv.org/abs/1106.4863v1
Brain Beats: Tempo Extraction from EEG Data.,http://arxiv.org/abs/1810.04582v4
A Plan for Sustainable MIR Evaluation.,http://arxiv.org/abs/1102.5752v1
Go with the Flow: When Listeners Use Music as Technology.,http://arxiv.org/abs/1711.07224v1
A Look at the Cloud from Both Sides Now: An Analysis of Cloud Music Service Usage.,http://arxiv.org/abs/1807.10214v1
"A Hierarchical Bayesian Model of Chords, Pitches, and Spectrograms for Multipitch Analysis.",http://arxiv.org/abs/1312.4127v1
A Higher-Dimensional Expansion of Affective Norms for English Terms for Music Tagging.,http://arxiv.org/abs/2009.07755v1
"A Latent Representation of Users, Sessions, and Songs for Listening Behavior Analysis.",http://arxiv.org/abs/1812.03226v1
A Methodology for Quality Assessment in Collaborative Score Libraries.,http://arxiv.org/abs/2104.06495v1
Aligned Hierarchies: A Multi-Scale Structure-Based Representation for Music-Based Data Streams.,http://arxiv.org/abs/1001.3403v1
Analysing Scattering-Based Music Content Analysis Systems: Where's the Music?.,http://arxiv.org/abs/2101.00132v1
Beat Tracking with a Cepstroid Invariant Neural Network.,http://arxiv.org/abs/1501.07873v3
Bootstrapping a System for Phoneme Recognition and Keyword Spotting in Unaccompanied Singing.,http://arxiv.org/abs/2102.04457v1
Can Microblogs Predict Music Charts? An Analysis of the Relationship Between #Nowplaying Tweets and Music Charts.,http://arxiv.org/abs/astro-ph/9503020v2
Cross Task Study on MIREX Recent Results: An Index for Evolution Measurement and Some Stagnation Hypotheses.,http://arxiv.org/abs/1510.02556v1
Cross-Collection Evaluation for Music Classification Tasks.,http://arxiv.org/abs/1912.01203v1
Downbeat Detection with Conditional Random Fields and Deep Learned Features.,http://arxiv.org/abs/1906.03870v1
"Exploiting Frequency, Periodicity and Harmonicity Using Advanced Time-Frequency Concentration Techniques for Multipitch Estimation of Choir and Symphony.",http://arxiv.org/abs/2006.00521v1
Genre Ontology Learning: Comparing Curated with Crowd-Sourced Ontologies.,http://arxiv.org/abs/2010.06325v2
Genre Specific Dictionaries for Harmonic/Percussive Source Separation.,http://arxiv.org/abs/1903.05600v1
Good-sounds.org: A Framework to Explore Goodness in Instrumental Sounds.,http://arxiv.org/abs/2010.03779v1
Improving Predictions of Derived Viewpoints in Multiple Viewpoints Systems.,http://arxiv.org/abs/2004.03143v1
Known Artist Live Song ID: A Hashprint Approach.,http://arxiv.org/abs/1608.00222v1
Learning Temporal Features Using a Deep Neural Network and its Application to Music Genre Classification.,http://arxiv.org/abs/1712.08370v1
Meter Detection in Symbolic Music Using Inner Metric Analysis.,http://arxiv.org/abs/2007.02360v2
Minimax Viterbi Algorithm for HMM-Based Guitar Fingering Decision.,http://arxiv.org/abs/2003.01803v3
